d1,d2,d3,open,high
22,09,2008,387.5,392.475006
23,09,2008,380,383.5
24,09,2008,367.350006,367.5
25,09,2008,357.5,359.5
26,09,2008,342.5,347.5
29,09,2008,340,340
30,09,2008,287.5,337
01,10,2008,335,341.399994
03,10,2008,332.5,335
06,10,2008,324,324
07,10,2008,311,333
08,10,2008,283,283
10,10,2008,256,275
13,10,2008,268,301.125
14,10,2008,298.625,310
15,10,2008,290,293.725006
16,10,2008,260,260
17,10,2008,252,258
20,10,2008,232.5,253.899994
21,10,2008,252.5,284.5
22,10,2008,274.950012,278
23,10,2008,248.5,293
24,10,2008,262.5,268.424988
27,10,2008,235,255
29,10,2008,262.5,287.5
31,10,2008,277.5,297.5
03,11,2008,280,285
04,11,2008,276.975006,276.975006
05,11,2008,260,274.450012
06,11,2008,245.5,260.424988
07,11,2008,245.125,266.899994
10,11,2008,269.450012,275.5
11,11,2008,272,273.5
12,11,2008,261.5,276.399994
14,11,2008,268.524994,274.5
17,11,2008,269,269
18,11,2008,252.625,258
19,11,2008,243,247.5
20,11,2008,235,240.425003
21,11,2008,229.949997,258
24,11,2008,251.5,265
25,11,2008,264.850006,267.875
26,11,2008,252.625,265.200012
28,11,2008,253,281.850006
01,12,2008,284.5,295.850006
02,12,2008,272.5,275
03,12,2008,270,275.149994
04,12,2008,268.5,276.450012
05,12,2008,272.600006,274.5
08,12,2008,270,273.899994
10,12,2008,253.5,278
11,12,2008,271,272.5
12,12,2008,250,250
15,12,2008,244.800003,250.949997
16,12,2008,235,243
17,12,2008,247,247
18,12,2008,239.850006,256.975006
19,12,2008,255,257.975006
22,12,2008,257,259.450012
23,12,2008,254.949997,256
24,12,2008,250,252.199997
26,12,2008,239.024994,243.5
29,12,2008,234,239.75
30,12,2008,237.5,242.899994
31,12,2008,242.5,243.5
02,01,2009,242.5,253.75
05,01,2009,252.350006,262
06,01,2009,259.950012,260
07,01,2009,254.899994,257
09,01,2009,251.850006,275
12,01,2009,267.5,269.850006
13,01,2009,252,268
14,01,2009,267.5,278.450012
15,01,2009,264.450012,264.450012
16,01,2009,245,259.399994
19,01,2009,252.5,254.75
20,01,2009,249,253.949997
21,01,2009,247.5,250.5
22,01,2009,247,251.475006
23,01,2009,246,248.949997
27,01,2009,247,257.424988
28,01,2009,250.5,255
29,01,2009,257.524994,257.524994
30,01,2009,252.5,259
02,02,2009,253.5,253.5
03,02,2009,247.375,254.899994
04,02,2009,252.725006,256.25
05,02,2009,251.75,251.75
06,02,2009,242.5,253.5
09,02,2009,252.5,262
10,02,2009,257.975006,263.399994
11,02,2009,259,261.299988
12,02,2009,259,259
13,02,2009,256,260
16,02,2009,258,258.5
17,02,2009,249,249.949997
18,02,2009,238.5,245.850006
19,02,2009,242,246.25
20,02,2009,243,243.5
24,02,2009,234.975006,237.75
25,02,2009,237.5,241.350006
26,02,2009,239.5,245
27,02,2009,241,242.5
02,03,2009,237.5,237.5
03,03,2009,229,232.5
04,03,2009,225,232.449997
05,03,2009,232.449997,235.350006
06,03,2009,230,242.100006
09,03,2009,240.449997,242
12,03,2009,225.125,242.350006
13,03,2009,226.675003,254.425003
16,03,2009,253.5,261.25
17,03,2009,255.550003,258.399994
18,03,2009,249,256.950012
19,03,2009,253.5,258.975006
20,03,2009,250,258.549988
23,03,2009,254,264
24,03,2009,255.675003,266.399994
25,03,2009,250.675003,264.899994
26,03,2009,255.675003,287.950012
27,03,2009,275.125,292.5
30,03,2009,275,282.5
31,03,2009,255,272
01,04,2009,252.625,276.600006
02,04,2009,270.125,293.399994
06,04,2009,292.5,296.850006
08,04,2009,289.799988,306
09,04,2009,300,307.5
13,04,2009,301.600006,304.549988
15,04,2009,295.850006,295.850006
16,04,2009,275,294.5
17,04,2009,275,299.5
20,04,2009,276.299988,291
21,04,2009,288.100006,299.850006
22,04,2009,264,280.5
23,04,2009,274.5,286.350006
24,04,2009,275,292.5
27,04,2009,275,304
28,04,2009,300,303.700012
29,04,2009,301.5,313.600006
30,04,2009,311.600006,311.600006
04,05,2009,311.600006,349.700012
05,05,2009,315,335
06,05,2009,315,326
07,05,2009,300,322.524994
08,05,2009,305,321.5
11,05,2009,307.5,319.600006
12,05,2009,300,322.399994
13,05,2009,315,322.5
14,05,2009,314,314
15,05,2009,300.575012,327.149994
18,05,2009,360,370
19,05,2009,397.350006,397.350006
20,05,2009,330.049988,350.5
21,05,2009,325.5,342.475006
22,05,2009,324.350006,324.350006
25,05,2009,302.975006,322.5
26,05,2009,310,319.25
27,05,2009,318,324.875
28,05,2009,321,334.25
29,05,2009,334.049988,352.399994
01,06,2009,340,354.5
02,06,2009,345,357.399994
03,06,2009,342.549988,354.325012
04,06,2009,340,354.5
05,06,2009,355.5,362.950012
08,06,2009,365,372.725006
09,06,2009,362.5,396
10,06,2009,385,402.5
11,06,2009,385,395
12,06,2009,382.5,397.5
15,06,2009,382,392.5
16,06,2009,392.700012,393
17,06,2009,380,394.899994
18,06,2009,370,393.5
19,06,2009,383,392.399994
22,06,2009,387.799988,388
23,06,2009,360,377
24,06,2009,367,387.700012
25,06,2009,384,391.950012
26,06,2009,375,402.399994
29,06,2009,402,402
30,06,2009,380,397.899994
01,07,2009,380,399.600006
02,07,2009,385,396
03,07,2009,385,394
06,07,2009,394.5,397.950012
07,07,2009,383,393.049988
08,07,2009,385,386
09,07,2009,381,390.899994
10,07,2009,392.5,401.100006
13,07,2009,387.899994,400.899994
14,07,2009,401,411.25
15,07,2009,414.450012,426
16,07,2009,428.899994,429.5
17,07,2009,419.5,444.299988
20,07,2009,449.700012,514.200012
21,07,2009,507,513.799988
22,07,2009,477.399994,485.799988
23,07,2009,540.099976,540.099976
24,07,2009,480,485.850006
27,07,2009,485,489.899994
28,07,2009,485,485
29,07,2009,479.700012,504.450012
30,07,2009,501,536.900024
31,07,2009,540,540
03,08,2009,527,534.75
04,08,2009,521.099976,540.650024
05,08,2009,538,538.700012
06,08,2009,530.349976,534
07,08,2009,517.650024,522
10,08,2009,514,551.25
11,08,2009,542,557.900024
12,08,2009,536.099976,541.700012
13,08,2009,530,533.799988
14,08,2009,526.700012,530
17,08,2009,520,520
18,08,2009,508.100006,515.5
19,08,2009,510,518.650024
20,08,2009,505,508.799988
21,08,2009,435.549988,512
24,08,2009,515,525.400024
25,08,2009,520,530.700012
26,08,2009,529,555
27,08,2009,550,559.900024
28,08,2009,545.299988,554.900024
31,08,2009,521.099976,545
01,09,2009,534,534.700012
02,09,2009,525,541
03,09,2009,536.200012,544
04,09,2009,536.200012,544
07,09,2009,533.049988,552.75
08,09,2009,555,570
09,09,2009,553,564.700012
10,09,2009,569,569
11,09,2009,559,568.799988
14,09,2009,555.549988,564.599976
15,09,2009,562,575
16,09,2009,575.099976,580
17,09,2009,576,586.900024
18,09,2009,579.799988,589.799988
22,09,2009,583.799988,604.5
23,09,2009,601.5,611.5
24,09,2009,588,605.400024
25,09,2009,597,597
29,09,2009,587.049988,613.799988
30,09,2009,615,621.900024
01,10,2009,620,648.650024
05,10,2009,631.950012,638.799988
06,10,2009,620,628.799988
07,10,2009,614,629
08,10,2009,597,597
09,10,2009,587,591
12,10,2009,573,584
